zip_code,utility,home_size_sqft,residents,house_type,ac_level,climate,time_usage_type,total_kwh,hvac_kwh,peak_kwh,offpeak_kwh,bill_usd,carbon_kg,target_bill_usd,predicted_bill_usd,monthly_energy_saving_recommendation,fridge,fridge_kwh,washer,washer_kwh,dryer,dryer_kwh,dishwasher,dishwasher_kwh,ev_charger,ev_charger_kwh,pool_pump,pool_pump_kwh
92335,PG&E,1017,3,apartment,high,inland,evening_peak,914.0,684.0,639.8,274.2,280.06,365.6,218.11,280.06,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,1,15,1,175,0,0
91364,PG&E,3347,5,condo,low,mountain,evening_peak,621.0,168.0,434.7,186.3,195.09,248.4,150.12,195.09,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,1,266,1,107
92121,SCE,1516,2,condo,low,mountain,evening_peak,304.0,144.0,212.8,91.2,92.86,121.6,66.0,92.86,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,0,0,1,120
90278,SCE,2441,1,condo,high,inland,morning_peak,1027.0,612.0,718.9,308.1,285.18,410.8,250.66,285.18,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,1,15,1,365,0,0
94087,PG&E,4987,3,detached,high,inland,morning_peak,967.0,684.0,676.9,290.1,295.43,386.8,273.16,295.43,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,0,0,1,258,0,0
94538,SDG&E,4224,3,condo,low,inland,morning_peak,461.0,228.0,322.7,138.3,162.75,184.4,154.58,162.75,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,1,193,0,0
91770,PG&E,4339,4,condo,low,mountain,mixed,578.0,160.0,289.0,289.0,159.5,231.2,116.92,159.5,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,0,0,1,353,0,0
94016,SCE,4847,6,apartment,medium,desert,evening_peak,1045.0,660.0,731.5,313.5,289.97,418.0,274.66,289.97,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,1,360,0,0
94551,PG&E,3938,5,apartment,low,inland,mixed,457.0,252.0,228.5,228.5,129.25,182.8,116.37,129.25,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,0,0,1,175,0,0
94025,PG&E,3591,4,detached,high,desert,mixed,1447.0,900.0,723.5,723.5,376.75,578.8,315.71,376.75,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,1,364,1,143
90001,SDG&E,4223,3,condo,medium,desert,morning_peak,580.0,570.0,406.0,174.0,200.12,232.0,152.3,200.12,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,0,0,0,0,0,0
94536,SCE,3755,6,condo,high,desert,evening_peak,1385.0,990.0,969.5,415.5,380.41,554.0,295.41,380.41,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,0,0,1,294,1,91
91730,PG&E,974,4,apartment,medium,mountain,mixed,335.0,320.0,167.5,167.5,98.75,134.0,74.88,98.75,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,0,0,0,0
92646,PG&E,4998,6,detached,low,coastal,mixed,622.0,220.0,311.0,311.0,170.5,248.8,136.91,170.5,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,1,279,1,98
91770,PG&E,1153,4,condo,medium,desert,off_peak,600.0,600.0,120.0,480.0,129.0,240.0,121.77,129.0,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,0,0,0,0
94551,SCE,3677,6,apartment,low,coastal,mixed,332.0,220.0,166.0,166.0,88.36,132.8,71.33,88.36,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,0,0,0,0,1,102
94544,SCE,868,4,apartment,medium,coastal,evening_peak,455.0,400.0,318.5,136.5,133.03,182.0,122.01,133.03,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,1,15,0,0,0,0
92130,PG&E,3284,4,detached,high,desert,morning_peak,1031.0,900.0,721.7,309.3,313.99,412.4,292.72,313.99,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,0,0,1,106
94086,SDG&E,2209,3,detached,medium,coastal,morning_peak,722.0,380.0,505.4,216.6,244.71,288.8,217.88,244.71,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,1,15,1,287,0,0
91711,SCE,1702,2,condo,high,desert,mixed,1145.0,810.0,572.5,572.5,275.35,458.0,231.98,275.35,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,1,158,1,97
92653,PG&E,3359,1,condo,medium,coastal,morning_peak,696.0,340.0,487.2,208.8,216.84,278.4,177.85,216.84,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,1,321,0,0
91335,SCE,3232,3,condo,high,inland,mixed,739.0,684.0,369.5,369.5,181.97,295.6,169.24,181.97,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,0,0,0,0,0,0
90210,SDG&E,4960,1,apartment,medium,mountain,mixed,317.0,272.0,158.5,158.5,103.59,126.8,83.33,103.59,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,0,0,0,0
92618,SCE,2040,1,detached,high,coastal,mixed,960.0,510.0,480.0,480.0,232.8,384.0,207.23,232.8,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,1,380,0,0
92653,PG&E,4757,3,apartment,high,desert,evening_peak,1089.0,855.0,762.3,326.7,330.81,435.6,251.53,330.81,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,1,130,1,104
92335,SDG&E,1704,3,condo,low,coastal,mixed,230.0,190.0,115.0,115.0,80.1,92.0,66.0,80.1,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,0,0,0,0,0,0
94539,SDG&E,3271,2,apartment,medium,mountain,morning_peak,594.0,288.0,415.8,178.2,204.52,237.6,156.96,204.52,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,1,261,0,0
94085,SCE,3181,1,detached,medium,coastal,morning_peak,462.0,340.0,323.4,138.6,134.89,184.8,103.31,134.89,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,0,0,1,52
92653,PG&E,4345,4,condo,medium,mountain,mixed,884.0,320.0,442.0,442.0,236.0,353.6,193.88,236.0,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,0,0,1,389,1,135
94538,SDG&E,1961,3,condo,low,mountain,evening_peak,197.0,152.0,137.9,59.1,79.86,78.8,57.33,79.86,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,0,0,0,0
91711,SCE,1455,5,apartment,medium,desert,morning_peak,1072.0,630.0,750.4,321.6,297.15,428.8,260.71,297.15,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,0,0,1,302,1,75
92121,SDG&E,3737,5,condo,low,mountain,morning_peak,570.0,168.0,399.0,171.0,196.98,228.0,179.21,196.98,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,1,225,1,137
94539,SCE,4209,2,detached,low,mountain,mixed,265.0,144.0,132.5,132.5,72.95,106.0,61.3,72.95,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,0,0,0,0,1,96
94105,SDG&E,1315,3,condo,low,inland,evening_peak,560.0,228.0,392.0,168.0,193.84,224.0,181.73,193.84,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,1,292,0,0
92646,SDG&E,2528,6,apartment,low,desert,evening_peak,385.0,330.0,269.5,115.5,138.89,154.0,121.69,138.89,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,0,0,0,0,0,0
92130,SCE,4238,6,detached,low,inland,mixed,289.0,264.0,144.5,144.5,78.47,115.6,72.37,78.47,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,0,0,0,0,0,0
94016,PG&E,3333,2,condo,high,desert,evening_peak,948.0,810.0,663.6,284.4,289.92,379.2,248.98,289.92,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,0,0,1,93
90002,PG&E,2688,6,condo,high,coastal,off_peak,831.0,660.0,166.2,664.8,172.89,332.4,161.54,172.89,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,1,91
94105,SCE,4176,4,condo,low,desert,mixed,828.0,300.0,414.0,414.0,202.44,331.2,154.38,202.44,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,1,391,1,92
92653,SDG&E,2722,3,detached,high,desert,evening_peak,880.0,855.0,616.0,264.0,294.32,352.0,257.67,294.32,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,0,0,0,0,0,0
92335,SDG&E,1177,4,detached,low,coastal,off_peak,517.0,200.0,103.4,413.6,123.47,206.8,97.96,123.47,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,0,0,1,287,0,0
94539,SCE,1610,1,condo,high,desert,evening_peak,970.0,765.0,679.0,291.0,270.02,388.0,208.31,270.02,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,1,180,0,0
94022,SCE,911,1,apartment,low,coastal,evening_peak,195.0,170.0,136.5,58.5,63.87,78.0,60.32,63.87,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,0,0,0,0,0,0
90001,SDG&E,3404,5,detached,high,mountain,evening_peak,749.0,504.0,524.3,224.7,253.19,299.6,199.91,253.19,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,0,0,1,190,0,0
92507,SDG&E,3505,5,apartment,low,inland,morning_peak,593.0,252.0,415.1,177.9,204.2,237.2,169.53,204.2,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,1,170,1,136
94016,PG&E,2405,2,apartment,medium,coastal,morning_peak,440.0,360.0,308.0,132.0,142.6,176.0,126.97,142.6,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,0,0
90003,PG&E,3597,2,detached,high,mountain,morning_peak,512.0,432.0,358.4,153.6,163.48,204.8,139.54,163.48,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,0,0
94016,PG&E,3967,5,detached,high,mountain,morning_peak,519.0,504.0,363.3,155.7,165.51,207.6,155.95,165.51,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,0,0,0,0
92024,SCE,3751,2,apartment,low,mountain,mixed,441.0,144.0,220.5,220.5,113.43,176.4,88.93,113.43,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,1,132,1,95
91335,SCE,4583,3,condo,low,desert,morning_peak,410.0,285.0,287.0,123.0,121.06,164.0,91.18,121.06,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,0,0,1,125
94022,PG&E,1521,3,apartment,medium,inland,mixed,793.0,456.0,396.5,396.5,213.25,317.2,159.98,213.25,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,1,292,0,0
91770,PG&E,1823,2,detached,high,inland,mixed,683.0,648.0,341.5,341.5,185.75,273.2,152.61,185.75,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,0,0,0,0
95814,SCE,2516,4,detached,high,coastal,mixed,734.0,600.0,367.0,367.0,180.82,293.6,144.31,180.82,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,0,0,0,0,1,124
